domain,label,confidence,brand_name_primary,brand_names_all,country_primary,countries_all,sources,classification_reasons,text_score,vision_score,stage_used
meislahn.de,Bodywear Leaning,0.5,Ferdinand Meislahn GmbH & Co. KG,Ferdinand Meislahn GmbH & Co. KG,Germany,Germany,Dealfront,"bodywear:shapewear,loungewear,unterwäsche,nachtwäsche;generalist:kinder,wohnen;vision_screenshot:0.00",0.721875,0.0,http+vision
wenaas.com,Bodywear Leaning,0.5,Wenaas Workwear AS,Wenaas Workwear AS,Norway,Norway,Dealfront,bodywear:onderkleding;vision_screenshot:0.00,0.6666666666666666,0.0,http+vision
degriffstock.com,Bodywear Leaning,0.5,France Achat International,France Achat International,France,France,Dealfront,"bodywear:lingerie,sous-vêtements,maillot de bain,nuit;generalist:sneakers,boots,accessoires;vision_screenshot:0.10",0.4092592592592592,0.1,http+vision
kolle.de,Bodywear Leaning,0.5,Kolle GmbH KG,Kolle GmbH KG,Germany,Germany,Dealfront,bodywear:bademode;vision_screenshot:0.10,0.5,0.1,http+vision
adanola.com,Bodywear Leaning,0.5,Adanola Limited,Adanola Limited,United Kingdom,United Kingdom,Dealfront,"bodywear:bras,intimates,sleepwear,swimwear;generalist:outerwear,jackets,accessories;vision_screenshot:0.45",0.3175,0.45,http+vision
dorcelstore.com,Bodywear Leaning,0.5,1979 Retail,1979 Retail,France,France,Dealfront,bodywear:string;vision_screenshot:0.00,0.75,0.0,http+vision
stammel.de,Bodywear Leaning,0.5,B. Stammel GmbH & Co. KG,B. Stammel GmbH & Co. KG,Germany,Germany,Dealfront,"bodywear:lingerie;generalist:kids,home;vision_screenshot:0.10",0.5352941176470588,0.1,http+vision
wibra.nl,Bodywear Leaning,0.5,Wibra Supermarkt B.V.,Wibra Supermarkt B.V.,Netherlands,Netherlands,Dealfront,bodywear:sokken;vision_screenshot:0.10,0.5,0.1,http+vision
samunderwear.com,Bodywear Leaning,0.5,Sam,Sam,France,France,Dealfront,"bodywear:lingerie,shapewear,swimwear;generalist:home;vision_screenshot:0.00",0.78,0.0,http+vision
terstal.nl,Bodywear Leaning,0.5,terStal,terStal,Netherlands,Netherlands,Dealfront,"bodywear:lingerie,ondergoed,beha,slips,nachtmode;generalist:jeans,jassen,accessoires;vision_screenshot:0.10",0.4982456140350877,0.1,http+vision
oceanusswimwear.com,Bodywear Leaning,0.495,Oceanus,Oceanus,United Kingdom,United Kingdom,FU,vision_screenshot:0.55;text_extraction_failed,0.0,0.55,playwright
copenhagencartel.com,Bodywear Leaning,0.495,Copenhagen Cartel,Copenhagen Cartel,Denmark,Denmark,e-com retailers,vision_screenshot:0.55;text_extraction_failed,0.0,0.55,playwright
strongerlabel.com,Bodywear Leaning,0.495,Stronger AB,Stronger AB,Sweden,Sweden,Dealfront,vision_screenshot:0.55;text_extraction_failed,0.0,0.55,playwright
deardenier.dk,Bodywear Leaning,0.475,DEAR DENIER,DEAR DENIER,Denmark,Denmark,HS segment,bodywear:slip;vision_screenshot:0.15,0.8,0.15,http+vision
rodasoleil.shop,Bodywear Leaning,0.4666666666666667,RODASOLEIL,RODASOLEIL,,,HS fairs,bodywear:swimwear;generalist:accessories;vision_screenshot:0.65,0.2833333333333333,0.65,http+vision
suami.eu,Bodywear Leaning,0.4659090909090909,SUAMI,SUAMI,Belgium,Belgium,Dealfront,"bodywear:swimwear;generalist:kids,home;vision_screenshot:0.65",0.2818181818181818,0.65,http+vision
huberholding.com,Bodywear Leaning,0.4625,Huber Holding AG,Huber Holding AG,Germany,Germany,HS segment,bodywear:bodywear;generalist:home,0.4625,,firecrawl
grupodocor.com,Bodywear Leaning,0.4609375,Grupo DOCOR,Grupo DOCOR,Spain,Spain,HS segment,"bodywear:swimwear,bikini,bañador;generalist:kids,accessories;vision_screenshot:0.20",0.721875,0.2,http+vision
